file_path,quantity_ovos,paleta_number
base-12/paleta-10-179.jpg,179,10
base-12/paleta-7-14.jpg,14,7
base-12/paleta-12-24.jpg,24,12
base-12/paleta-2-10.jpg,10,2
base-12/paleta-13-31.jpg,31,13
base-12/paleta-9-137.jpg,137,9
base-12/paleta-5-26.jpg,26,5
base-12/paleta-13-33.jpg,33,13
base-12/paleta-16-4.jpg,4,16
base-12/paleta-15-66.jpg,66,15
base-12/paleta-9-12.jpg,12,9
base-12/paleta-11-148.jpg,148,11
base-12/paleta-10-103.jpg,103,10
base-12/paleta-8-139.jpg,139,8
base-12/paleta-3-37.jpg,37,3
base-12/paleta-12-181.jpg,181,12
base-12/paleta-17-21.jpg,21,17
base-12/paleta-13-82.jpg,82,13
base-12/paleta-17-8.jpg,8,17
base-12/paleta-8-25.jpg,25,8
base-12/paleta-17-49.jpg,49,17
base-12/paleta-2-4.jpg,4,2
base-12/paleta-4-125.jpg,125,4
base-12/paleta-4-11.jpg,11,4
base-12/paleta-15-92.jpg,92,15
base-12/paleta-10-56.jpg,56,10
base-12/paleta-6-38.jpg,38,6
base-12/paleta-4-158.jpg,158,4
base-12/paleta-15-54.jpg,54,15
base-12/paleta-2-2.jpg,2,2
base-12/paleta-8-15.jpg,15,8
base-12/paleta-13-83.jpg,83,13
base-12/paleta-8-146.jpg,146,8
base-12/paleta-5-28.jpg,28,5
base-12/paleta-11-157.jpg,157,11
base-12/paleta-7-32.jpg,32,7
base-12/paleta-13-28.jpg,28,13
base-12/paleta-10-79.jpg,79,10
base-12/paleta-12-41.jpg,41,12
base-12/paleta-11-178.jpg,178,11
base-12/paleta-4-5.jpg,5,4
base-12/paleta-5-13.jpg,13,5
base-12/paleta-4-107.jpg,107,4
base-12/paleta-12-19.jpg,19,12
base-12/paleta-9-60.jpg,60,9
base-12/paleta-6-65.jpg,65,6
base-12/paleta-1-25.jpg,25,1
